skill_id,source_type,source_id,mention_text,matched_via,confidence,start_char,end_char
SKILL_0431,course,NPTEL_Dep_Free_Elective.csv:106104449,Edge Computing,alias,1.0,0,14
SKILL_0528,course,NPTEL_Dep_Free_Elective.csv:106105193,System Design,exact,1.0,9,22
SKILL_0477,course,NPTEL_Dep_Free_Elective.csv:106105159,Embedded Systems,exact,1.0,0,16
SKILL_0031,course,NPTEL_Dep_Free_Elective.csv:106106199,Information Security,alias,1.0,0,20
SKILL_0528,course,NPTEL_Dep_Free_Elective.csv:108102169,System Design,exact,1.0,25,38
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106106241,Algorithms,exact,1.0,8,18
SKILL_0358,course,NPTEL_Dep_Free_Elective.csv:106103220,Human-Computer Interaction,exact,1.0,27,53
SKILL_0395,course,NPTEL_Dep_Free_Elective.csv:106104242,IoT,alias,1.0,20,23
SKILL_0279,course,NPTEL_Dep_Free_Elective.csv:106104242,ML,alias,1.0,29,31
SKILL_0170,course,NPTEL_Dep_Free_Elective.csv:106104356,computer science,exact,1.0,43,59
SKILL_0031,course,NPTEL_Dep_Free_Elective.csv:106104467,Cyber Security,exact,1.0,10,24
SKILL_0031,course,NPTEL_Dep_Free_Elective.csv:106104467,Cyber Security,exact,1.0,29,43
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106108468,Algorithms,exact,1.0,22,32
SKILL_0254,course,NPTEL_Dep_Free_Elective.csv:106104189,Big Data,alias,1.0,0,8
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106105164,Algorithms,exact,1.0,16,26
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106105471,Algorithm,alias,1.0,14,23
SKILL_0511,course,NPTEL_Dep_Free_Elective.csv:106105218,Project Management,exact,1.0,9,27
SKILL_0511,course,NPTEL_HS_MG.csv:110107081,Project Management,exact,1.0,0,18
SKILL_0048,course,NPTEL_HS_MG.csv:110105097,Ethics,exact,1.0,0,6
SKILL_0400,course,NPTEL_HS_MG.csv:110107129,Python,alias,1.0,48,54
SKILL_0144,course,NPTEL_HS_MG.csv:110108161,R,exact,1.0,50,51
SKILL_0254,course,NPTEL_HS_MG.csv:110104125,Data Analysis,alias,1.0,0,13
SKILL_0112,course,NPTEL_HS_MG.csv:110105094,Safety Engineering,exact,1.0,11,29
SKILL_0033,course,NPTEL_HS_MG.csv:110104168,Decision Support Systems,exact,1.0,18,42
SKILL_0363,course,NPTEL_HS_MG.csv:109103188,Mathematics,exact,1.0,0,11
SKILL_0144,course,NPTEL_HS_MG.csv:109106204,R,exact,1.0,48,49
SKILL_0144,course,NPTEL_HS_MG.csv:109106180,R,exact,1.0,36,37
SKILL_0254,course,NPTEL_HS_MG.csv:109107190,Survey Data,alias,1.0,10,21
SKILL_0144,course,NPTEL_HS_MG.csv:109106183,R,exact,1.0,46,47
SKILL_0345,course,NPTEL_HS_MG.csv:109103134,Cognitive Psychology,exact,1.0,16,36
SKILL_0177,course,NPTEL_HS_MG.csv:109102392,Data Analytics,exact,1.0,49,63
SKILL_0180,course,NPTEL_HS_MG.csv:110107092,data mining,exact,1.0,23,34
SKILL_0144,course,NPTEL_HS_MG.csv:110107092,R,exact,1.0,50,51
SKILL_0048,course,NPTEL_HS_MG.csv:110105079,Ethics,exact,1.0,9,15
SKILL_0254,course,NPTEL_HS_MG.csv:110104094,Data Analysis,alias,1.0,0,13
SKILL_0144,course,NPTEL_HS_MG.csv:110108141,R,exact,1.0,38,39
SKILL_0227,course,NPTEL_HS_MG.csv:110105142,Marketing Analytics,exact,1.0,0,19
SKILL_0144,course,NPTEL_HS_MG.csv:110104440,R,exact,1.0,29,30
SKILL_0511,course,NPTEL_HS_MG.csv:110107430,Project Management,exact,1.0,0,18
SKILL_0511,course,NPTEL_HS_MG.csv:110105167,Project Management,exact,1.0,0,18
SKILL_0155,course,NPTEL_HS_MG.csv:110104169,Algorithmic,alias,1.0,9,20
SKILL_0155,course,NPTEL_HS_MG.csv:110104169,Algorithmic,alias,1.0,9,20
SKILL_0511,course,NPTEL_HS_MG.csv:110105167,Project Management,exact,1.0,0,18
SKILL_0272,resume,19962,Cisco,exact,1.0,158,163
SKILL_0475,resume,19962,DNS,alias,1.0,192,195
SKILL_0436,resume,19962,PowerShell,alias,1.0,366,376
SKILL_0436,resume,19962,Bash,alias,1.0,378,382
SKILL_0400,resume,19962,Python,alias,1.0,384,390
SKILL_0527,resume,19962,CSS,alias,1.0,398,401
SKILL_0397,resume,19962,JavaScript,exact,1.0,403,413
SKILL_0141,resume,19962,PHP,exact,1.0,423,426
SKILL_0031,resume,11491,IT Security,alias,1.0,270,281
SKILL_0304,resume,18744,Disaster Recovery,alias,1.0,207,224
SKILL_0441,resume,18744,ETL,alias,1.0,254,257
SKILL_0396,resume,3272,Java,alias,1.0,0,4
SKILL_0277,resume,3272,Jenkins,alias,1.0,190,197
SKILL_0546,resume,3272,Web Services,exact,1.0,228,240
SKILL_0397,resume,3272,JavaScript,exact,1.0,242,252
SKILL_0546,resume,3272,Web services,exact,1.0,409,421
SKILL_0391,resume,3272,Agile,alias,1.0,449,454
SKILL_0391,resume,3272,Scrum,alias,1.0,455,460
SKILL_0396,resume,3272,Java,alias,1.0,564,568
SKILL_0396,resume,3272,Java,alias,1.0,600,604
SKILL_0396,resume,3272,Java,alias,1.0,616,620
SKILL_0396,resume,3272,Java,alias,1.0,673,677
SKILL_0527,resume,22461,CSS,alias,1.0,53,56
SKILL_0266,resume,22461,Ajax,exact,1.0,161,165
SKILL_0436,resume,22461,AngularJS,alias,1.0,181,190
SKILL_0532,resume,22461,GIT,alias,1.0,313,316
SKILL_0532,resume,22461,source control,alias,1.0,321,335
SKILL_0546,resume,22461,web services,exact,1.0,415,427
SKILL_0397,resume,22461,JavaScript,exact,1.0,567,577
SKILL_0527,resume,22461,CSS,alias,1.0,739,742
SKILL_0391,resume,22461,Agile,alias,1.0,764,769
SKILL_0511,resume,10243,Project Management,exact,1.0,3,21
SKILL_0111,resume,10243,Risk assessment,alias,1.0,98,113
SKILL_0304,resume,10243,Disaster Recovery,alias,1.0,169,186
SKILL_0272,resume,10243,Cisco,exact,1.0,284,289
SKILL_0254,resume,10243,Data Analysis,alias,1.0,307,320
SKILL_0166,resume,10243,BI,alias,1.0,334,336
SKILL_0128,resume,10243,C#,exact,1.0,372,374
SKILL_0396,resume,10243,Java,alias,1.0,376,380
SKILL_0141,resume,10243,PHP,exact,1.0,382,385
SKILL_0272,resume,10243,Cisco,exact,1.0,498,503
SKILL_0397,resume,40178,JavaScript,exact,1.0,0,10
SKILL_0400,resume,40178,Python,alias,1.0,12,18
SKILL_0436,resume,40178,AngularJS,alias,1.0,20,29
SKILL_0532,resume,40178,Git,alias,1.0,88,91
SKILL_0152,resume,40178,Typescript,exact,1.0,134,144
SKILL_0254,resume,40178,Data Analysis,alias,1.0,348,361
SKILL_0254,resume,40178,Statistics,exact,1.0,509,519
SKILL_0400,resume,31764,Python,alias,1.0,0,6
SKILL_0532,resume,31764,Git,alias,1.0,173,176
SKILL_0391,resume,31764,Agile,alias,1.0,188,193
SKILL_0172,resume,31764,TensorFlow,alias,1.0,254,264
SKILL_0436,resume,31764,AngularJS,alias,1.0,447,456
SKILL_0119,resume,31764,Selenium,alias,1.0,474,482
SKILL_0001,resume,31764,C++,exact,1.0,518,521
SKILL_0527,resume,31764,CSS,alias,1.0,534,537
SKILL_0400,resume,31764,Python,alias,1.0,550,556
SKILL_0400,resume,31764,Python,alias,1.0,573,579
SKILL_0400,resume,31764,Python,alias,1.0,591,597
SKILL_0400,resume,31764,Python,alias,1.0,609,615
SKILL_0396,resume,31764,Java,alias,1.0,627,631
SKILL_0180,resume,9600,Data mining,exact,1.0,81,92
SKILL_0111,resume,9600,Risk Management,exact,1.0,94,109
SKILL_0031,resume,9600,Information security,alias,1.0,206,226
SKILL_0111,resume,9600,risk assessment,alias,1.0,443,458
SKILL_0615,resume,9600,plan,exact,1.0,476,480
SKILL_0615,resume,9600,plan,exact,1.0,482,486
SKILL_0031,resume,9600,IT Security,alias,1.0,513,524
SKILL_0031,resume,9600,Information Security,alias,1.0,534,554
SKILL_0511,resume,4838,Project Management,exact,1.0,34,52
SKILL_0396,resume,50551,Java,alias,1.0,6,10
SKILL_0396,resume,50551,Java,alias,1.0,34,38
SKILL_0396,resume,50551,Java,alias,1.0,54,58
SKILL_0396,resume,50551,Java,alias,1.0,70,74
SKILL_0397,resume,5753,JavaScript,exact,1.0,135,145
SKILL_0436,resume,5753,AngularJS,alias,1.0,179,188
SKILL_0266,resume,5753,AJAX,exact,1.0,207,211
SKILL_0436,resume,5753,AngularJS,alias,1.0,305,314
SKILL_0397,resume,5753,JavaScript,exact,1.0,616,626
SKILL_0527,resume,5753,CSS,alias,1.0,843,846
SKILL_0546,resume,5753,web services,exact,1.0,967,979
SKILL_0397,resume,5753,Mocha,alias,1.0,1540,1545
SKILL_0532,resume,5753,Git,alias,1.0,1595,1598
SKILL_0495,resume,5753,IDE,alias,1.0,1671,1674
SKILL_0153,resume,5753,Visual Studio,alias,1.0,1683,1696
SKILL_0391,resume,5753,Agile,alias,1.0,1757,1762
SKILL_0391,resume,5753,software development methodologies,alias,1.0,1763,1797
SKILL_0391,resume,5753,SCRUM,alias,1.0,1828,1833
SKILL_0511,resume,44513,Project Management,exact,1.0,0,18
SKILL_0304,resume,44513,Disaster Recovery,alias,1.0,68,85
SKILL_0511,resume,44513,Project Management,exact,1.0,289,307
SKILL_0511,resume,44513,Project Management,exact,1.0,332,350
SKILL_0511,resume,44513,Project Management,exact,1.0,371,389
SKILL_0272,resume,17344,Cisco,exact,1.0,57,62
SKILL_0031,resume,17344,Cybersecurity,alias,1.0,95,108
SKILL_0304,resume,17344,Disaster recovery,alias,1.0,141,158
SKILL_0511,resume,17344,Project management,exact,1.0,160,178
SKILL_0254,resume,17344,Big Data,alias,1.0,201,209
SKILL_0400,resume,17344,Python,alias,1.0,316,322
SKILL_0408,resume,17344,Data security,alias,1.0,395,408
SKILL_0272,resume,17344,Cisco,exact,1.0,555,560
SKILL_0320,resume,51318,SaaS,alias,1.0,109,113
SKILL_0272,resume,51318,Cisco,exact,1.0,563,568
SKILL_0272,resume,51318,Cisco,exact,1.0,677,682
SKILL_0475,resume,51318,DNS,alias,1.0,820,823
SKILL_0031,resume,52455,cyber security,exact,1.0,12,26
SKILL_0114,resume,52455,security threat,alias,1.0,66,81
SKILL_0111,resume,52455,risk assessment,alias,1.0,94,109
SKILL_0031,resume,52455,Information Security,alias,1.0,316,336
SKILL_0400,resume,18093,Python,alias,1.0,217,223
SKILL_0446,resume,19455,database systems,alias,1.0,56,72
SKILL_0304,resume,19455,disaster recovery,alias,1.0,133,150
SKILL_0391,resume,19455,Agile,alias,1.0,286,291
SKILL_0436,resume,19455,IO,alias,1.0,465,467
SKILL_0532,resume,19455,source control,alias,1.0,795,809
SKILL_0391,resume,19455,agile,alias,1.0,1047,1052
SKILL_0532,resume,19455,Source control,alias,1.0,1152,1166
SKILL_0532,resume,19455,Git,alias,1.0,1221,1224
SKILL_0132,resume,19455,Hadoop,exact,1.0,1302,1308
SKILL_0391,resume,36992,Scrum,alias,1.0,10,15
SKILL_0391,resume,36992,Agile,alias,1.0,48,53
SKILL_0391,resume,36992,Scrum,alias,1.0,69,74
SKILL_0119,resume,36992,Selenium,alias,1.0,187,195
SKILL_0387,resume,36992,Usability Testing,alias,1.0,232,249
SKILL_0391,resume,36992,Agile,alias,1.0,271,276
SKILL_0391,resume,36992,Scrum,alias,1.0,381,386
SKILL_0391,resume,36992,Scrum,alias,1.0,437,442
SKILL_0031,resume,10129,IT Security,alias,1.0,461,472
SKILL_0031,resume,10129,IT Security,alias,1.0,708,719
SKILL_0317,resume,38705,AS400,alias,1.0,34,39
SKILL_0417,resume,38705,POS,alias,1.0,183,186
SKILL_0111,resume,43287,risk assessment,alias,1.0,197,212
SKILL_0435,resume,39775,software design,alias,1.0,99,114
SKILL_0527,resume,39775,CSS,alias,1.0,131,134
SKILL_0397,resume,39775,JavaScript,exact,1.0,136,146
SKILL_0436,resume,39775,AngularJs,alias,1.0,148,157
SKILL_0266,resume,39775,AJAX,exact,1.0,187,191
SKILL_0320,resume,39775,SAAS,alias,1.0,252,256
SKILL_0436,resume,39775,AngularJS,alias,1.0,264,273
SKILL_0527,resume,39775,CSS,alias,1.0,386,389
SKILL_0396,resume,39775,Java,alias,1.0,403,407
SKILL_0527,resume,39775,CSS,alias,1.0,499,502
SKILL_0527,resume,39775,CSS,alias,1.0,516,519
SKILL_0527,resume,39775,CSS,alias,1.0,529,532
SKILL_0527,resume,39775,CSS,alias,1.0,546,549
SKILL_0527,resume,39775,CSS,alias,1.0,562,565
SKILL_0527,resume,39775,CSS,alias,1.0,572,575
SKILL_0527,resume,39775,CSS,alias,1.0,585,588
SKILL_0527,resume,39775,CSS,alias,1.0,597,600
SKILL_0495,resume,39775,NetBeans,alias,1.0,629,637
SKILL_0470,resume,39775,IAM,alias,1.0,748,751
SKILL_0546,resume,39775,Web Services,exact,1.0,880,892
SKILL_0400,resume,39775,Python,alias,1.0,914,920
SKILL_0128,resume,39775,C#,exact,1.0,1144,1146
SKILL_0266,resume,39775,AJAX,exact,1.0,1148,1152
SKILL_0532,resume,39775,Git,alias,1.0,1162,1165
SKILL_0436,resume,39775,bash,alias,1.0,1166,1170
SKILL_0397,resume,39775,JavaScript,exact,1.0,1229,1239
SKILL_0270,resume,39775,Apache Tomcat,exact,1.0,1257,1270
SKILL_0527,resume,39775,CSS,alias,1.0,1307,1310
SKILL_0387,resume,39775,Usability Testing,alias,1.0,1326,1343
SKILL_0391,resume,39775,Agile,alias,1.0,1345,1350
SKILL_0527,resume,21361,CSS,alias,1.0,104,107
SKILL_0546,resume,21361,Web Services,exact,1.0,328,340
SKILL_0397,resume,21361,JavaScript,exact,1.0,446,456
SKILL_0152,resume,21361,Typescript,exact,1.0,462,472
SKILL_0527,resume,21361,CSS,alias,1.0,615,618
SKILL_0527,resume,21361,CSS,alias,1.0,689,692
SKILL_0397,resume,21361,JavaScript,exact,1.0,737,747
SKILL_0532,resume,21361,GIT,alias,1.0,1256,1259
SKILL_0532,resume,21361,Git,alias,1.0,1280,1283
SKILL_0391,resume,21361,AGILE,alias,1.0,1649,1654
SKILL_0391,resume,21361,SCRUM,alias,1.0,1715,1720
SKILL_0511,resume,7252,Project Management,exact,1.0,94,112
SKILL_0436,resume,33059,PowerShell,alias,1.0,545,555
SKILL_0128,resume,33059,C#,exact,1.0,822,824
SKILL_0272,resume,33778,Cisco,exact,1.0,57,62
SKILL_0031,resume,14542,Cybersecurity,alias,1.0,188,201
SKILL_0615,resume,14542,Plan,exact,1.0,812,816
SKILL_0111,resume,28198,Risk management,exact,1.0,63,78
SKILL_0431,resume,28198,Cloud Technologies,exact,1.0,217,235
SKILL_0304,resume,28198,Disaster Recovery,alias,1.0,237,254
SKILL_0031,resume,28198,IT Security,alias,1.0,310,321
SKILL_0031,resume,28198,Cyber Security,exact,1.0,331,345
SKILL_0511,resume,41602,Project management,exact,1.0,155,173
SKILL_0400,resume,32300,Python,alias,1.0,120,126
SKILL_0396,resume,32300,Java,alias,1.0,171,175
SKILL_0400,resume,17683,Python,alias,1.0,252,258
SKILL_0254,resume,17683,statistics,exact,1.0,294,304
SKILL_0400,resume,17683,Python,alias,1.0,345,351
SKILL_0495,resume,17683,IDE,alias,1.0,352,355
SKILL_0400,resume,17683,Python,alias,1.0,438,444
SKILL_0400,resume,17683,Python,alias,1.0,541,547
SKILL_0400,resume,17683,Python,alias,1.0,715,721
SKILL_0532,resume,17683,Git,alias,1.0,913,916
SKILL_0277,resume,17683,Jenkins,alias,1.0,926,933
SKILL_0400,resume,17683,Python,alias,1.0,971,977
SKILL_0436,resume,17683,Bash,alias,1.0,982,986
SKILL_0391,resume,17683,Agile,alias,1.0,1276,1281
SKILL_0400,resume,17683,Python,alias,1.0,1325,1331
SKILL_0442,resume,17683,data models,exact,1.0,1483,1494
SKILL_0119,resume,17683,Selenium,alias,1.0,2181,2189
SKILL_0400,resume,17683,Python,alias,1.0,2201,2207
SKILL_0400,resume,17683,Python,alias,1.0,2243,2249
SKILL_0527,resume,17683,CSS,alias,1.0,2314,2317
SKILL_0400,resume,17683,Python,alias,1.0,2394,2400
SKILL_0400,resume,17683,Python,alias,1.0,2553,2559
SKILL_0400,resume,17683,Python,alias,1.0,2601,2607
SKILL_0400,resume,17683,Python,alias,1.0,2665,2671
SKILL_0254,resume,17683,statistical analysis,alias,1.0,2743,2763
SKILL_0391,resume,17683,agile,alias,1.0,3273,3278
SKILL_0266,resume,17683,AJAX,exact,1.0,3349,3353
SKILL_0527,resume,17683,CSS,alias,1.0,3355,3358
SKILL_0397,resume,17683,JavaScript,exact,1.0,3363,3373
SKILL_0141,resume,17683,PHP,exact,1.0,3523,3526
SKILL_0397,resume,17683,JavaScript,exact,1.0,3561,3571
SKILL_0266,resume,17683,Ajax,exact,1.0,3573,3577
SKILL_0141,resume,17683,PHP,exact,1.0,3644,3647
SKILL_0527,resume,17683,CSS,alias,1.0,3655,3658
SKILL_0397,resume,17683,JavaScript,exact,1.0,3660,3670
SKILL_0336,resume,17683,scratch,alias,1.0,3838,3845
SKILL_0266,resume,17683,AJAX,exact,1.0,3890,3894
SKILL_0397,resume,17683,JavaScript,exact,1.0,3968,3978
SKILL_0266,resume,17683,Ajax,exact,1.0,4085,4089
SKILL_0397,resume,17683,JavaScript,exact,1.0,4094,4104
SKILL_0400,resume,17683,Python,alias,1.0,4301,4307
SKILL_0400,resume,17683,Python,alias,1.0,4560,4566
SKILL_0400,resume,17683,python,alias,1.0,4646,4652
SKILL_0400,resume,17683,Python,alias,1.0,4872,4878
SKILL_0400,resume,17683,Python,alias,1.0,4909,4915
SKILL_0527,resume,17683,CSS,alias,1.0,5145,5148
SKILL_0400,resume,17683,Python,alias,1.0,5759,5765
SKILL_0400,resume,17683,Python,alias,1.0,5777,5783
SKILL_0400,resume,17683,Python,alias,1.0,5795,5801
SKILL_0177,resume,16100,Data Analytics,exact,1.0,0,14
SKILL_0511,resume,16100,project management,exact,1.0,372,390
SKILL_0615,resume,16100,plan,exact,1.0,525,529
SKILL_0605,resume,16100,meet deadlines,alias,1.0,546,560
SKILL_0177,resume,16100,data analytics,exact,1.0,588,602
SKILL_0315,resume,16100,Network Engineering,exact,1.0,790,809
SKILL_0315,resume,16100,Network Engineering,exact,1.0,822,841
SKILL_0087,resume,25507,Manage team,alias,1.0,82,93
SKILL_0615,resume,25507,plan,exact,1.0,192,196
SKILL_0254,resume,25507,data collection,alias,1.0,1037,1052
SKILL_0396,resume,12250,Java,alias,1.0,29,33
SKILL_0417,resume,12250,POS,alias,1.0,61,64
SKILL_0396,resume,12250,Java,alias,1.0,72,76
SKILL_0495,resume,12250,IDE,alias,1.0,90,93
SKILL_0417,resume,12250,POS,alias,1.0,104,107
SKILL_0396,resume,12250,Java,alias,1.0,231,235
SKILL_0417,resume,12250,POS,alias,1.0,319,322
SKILL_0532,resume,36572,Git,alias,1.0,57,60
SKILL_0546,resume,36572,web services,exact,1.0,109,121
SKILL_0546,resume,36572,web services,exact,1.0,173,185
SKILL_0400,resume,36572,Python,alias,1.0,277,283
SKILL_0266,resume,36572,AJAX,exact,1.0,359,363
SKILL_0396,resume,36572,Java,alias,1.0,401,405
SKILL_0335,resume,36572,Scala,exact,1.0,407,412
SKILL_0546,resume,36572,Web services,exact,1.0,462,474
SKILL_0391,resume,36572,Agile,alias,1.0,688,693
SKILL_0391,resume,36572,Scrum,alias,1.0,698,703
SKILL_0431,resume,36572,cloud technologies,exact,1.0,713,731
SKILL_0400,resume,36572,Python,alias,1.0,733,739
SKILL_0400,resume,36572,Python,alias,1.0,751,757
SKILL_0400,resume,36572,Python,alias,1.0,780,786
SKILL_0400,resume,36572,Python,alias,1.0,798,804
SKILL_0400,resume,36572,Python,alias,1.0,820,826
SKILL_0400,resume,36572,Python,alias,1.0,842,848
SKILL_0315,resume,16233,Network Engineering,exact,1.0,0,19
SKILL_0093,resume,16233,Network protocols,alias,1.0,299,316
SKILL_0511,resume,16233,project management,exact,1.0,497,515
SKILL_0391,resume,21348,Agile,alias,1.0,62,67
SKILL_0391,resume,21348,Scrum,alias,1.0,69,74
SKILL_0511,resume,21348,Project Management,exact,1.0,169,187
SKILL_0268,resume,21348,ASP.Net,exact,1.0,590,597
SKILL_0246,resume,21348,Quantitative Analysis,exact,1.0,1970,1991
SKILL_0111,resume,21348,Risk Assessment,alias,1.0,2338,2353
SKILL_0615,resume,47482,Plan,exact,1.0,99,103
SKILL_0238,resume,47482,Perform project management,exact,1.0,353,379
SKILL_0031,resume,47482,Information Security,alias,1.0,495,515
SKILL_0031,resume,46337,IT Security,alias,1.0,0,11
SKILL_0615,resume,46337,Plan,exact,1.0,173,177
SKILL_0111,resume,46337,Risk Assessment,alias,1.0,185,200
SKILL_0615,resume,46337,Plan,exact,1.0,284,288
SKILL_0408,resume,46337,Data Security,alias,1.0,372,385
SKILL_0111,resume,46337,risk assessment,alias,1.0,399,414
SKILL_0031,resume,46337,Information security,alias,1.0,446,466
SKILL_0031,resume,46337,IT Security,alias,1.0,558,569
SKILL_0436,resume,20027,Powershell,alias,1.0,66,76
SKILL_0274,resume,20027,DevOps,exact,1.0,78,84
SKILL_0170,resume,710,Computer Science,exact,1.0,291,307
SKILL_0031,resume,10423,IT Security,alias,1.0,0,11
SKILL_0031,resume,10423,IT Security,alias,1.0,70,81
SKILL_0396,resume,32344,Java,alias,1.0,0,4
SKILL_0396,resume,32344,Java,alias,1.0,54,58
SKILL_0397,resume,49957,JAVASCRIPT,exact,1.0,6,16
SKILL_0266,resume,49957,AJAX,exact,1.0,18,22
SKILL_0396,resume,49957,Java,alias,1.0,41,45
SKILL_0396,resume,49957,Java,alias,1.0,84,88
SKILL_0396,resume,49957,Java,alias,1.0,115,119
SKILL_0396,resume,49957,Java,alias,1.0,131,135
SKILL_0396,resume,49957,Java,alias,1.0,147,151
SKILL_0396,resume,49957,Java,alias,1.0,168,172
SKILL_0460,resume,22063,design process,exact,1.0,9,23
SKILL_0442,resume,1416,data models,exact,1.0,186,197
SKILL_0254,resume,1416,data analysis,alias,1.0,228,241
SKILL_0207,resume,1416,data architecture,alias,1.0,362,379
SKILL_0441,resume,1416,ETL,alias,1.0,554,557
SKILL_0166,resume,1416,Business Intelligence,exact,1.0,568,589
SKILL_0166,resume,1416,Business Intelligence,exact,1.0,637,658
SKILL_0441,resume,1416,ETL,alias,1.0,659,662
SKILL_0166,resume,1416,Business Intelligence,exact,1.0,698,719
SKILL_0166,resume,1416,Business Intelligence,exact,1.0,790,811
SKILL_0166,resume,1416,Business Intelligence,exact,1.0,859,880
SKILL_0272,resume,29694,Cisco,exact,1.0,24,29
SKILL_0141,resume,22650,PHP,exact,1.0,92,95
SKILL_0396,resume,31732,JAVA,alias,1.0,0,4
SKILL_0001,resume,31732,C++,exact,1.0,43,46
SKILL_0396,resume,31732,Java,alias,1.0,90,94
SKILL_0397,resume,31732,JavaScript,exact,1.0,225,235
SKILL_0266,resume,31732,AJAX,exact,1.0,237,241
SKILL_0270,resume,31732,Apache Tomcat,exact,1.0,302,315
SKILL_0534,resume,31732,UML,alias,1.0,349,352
SKILL_0436,resume,31732,Subversion,alias,1.0,420,430
SKILL_0132,resume,31732,Hadoop,exact,1.0,461,467
SKILL_0396,resume,31732,Java,alias,1.0,475,479
SKILL_0400,resume,31732,Python,alias,1.0,510,516
SKILL_0144,resume,31732,R,exact,1.0,518,519
SKILL_0396,resume,31732,JAVA,alias,1.0,597,601
SKILL_0396,resume,31732,JAVA,alias,1.0,631,635
SKILL_0396,resume,31732,JAVA,alias,1.0,655,659
SKILL_0396,resume,31732,JAVA,alias,1.0,667,671
SKILL_0396,resume,31732,JAVA,alias,1.0,707,711
SKILL_0396,resume,31732,JAVA,alias,1.0,732,736
SKILL_0396,resume,31732,JAVA,alias,1.0,754,758
SKILL_0511,resume,25356,Project Management,exact,1.0,3,21
SKILL_0391,resume,25356,Scrum,alias,1.0,23,28
SKILL_0031,resume,25356,Information Security,alias,1.0,82,102
SKILL_0511,resume,25356,Project Management,exact,1.0,253,271
SKILL_0511,resume,25356,Project Management,exact,1.0,372,390
SKILL_0031,resume,25356,IT Security,alias,1.0,710,721
SKILL_0031,resume,25356,Information Security,alias,1.0,1024,1044
SKILL_0408,resume,25356,Data Security,alias,1.0,1066,1079
SKILL_0111,resume,25356,Risk Management,exact,1.0,1892,1907
SKILL_0031,resume,47217,IT Security,alias,1.0,155,166
SKILL_0031,resume,47217,IT Security,alias,1.0,344,355
SKILL_0511,resume,26606,Project Management,exact,1.0,17,35
SKILL_0032,resume,46243,Data Protection,exact,1.0,203,218
SKILL_0336,resume,33476,scratch,alias,1.0,23,30
SKILL_0141,resume,33476,PHP,exact,1.0,53,56
SKILL_0274,resume,33476,DevOps,exact,1.0,439,445
SKILL_0511,resume,27152,Project Management,exact,1.0,0,18
SKILL_0048,resume,27152,Ethics,exact,1.0,42,48
SKILL_0111,resume,27152,Risk Management,exact,1.0,141,156
SKILL_0391,resume,27152,Agile,alias,1.0,222,227
SKILL_0511,resume,27152,Project Management,exact,1.0,236,254
SKILL_0396,resume,32071,Java,alias,1.0,0,4
SKILL_0396,resume,32071,Java,alias,1.0,16,20
SKILL_0396,resume,32071,Java,alias,1.0,32,36
