S.No,Course Name,SME Name,Institute,Current Duration in weeks,No. of credits,NPTEL URL,Comments,Available for Jan- April 2026,Direct Swayam Link,NPTEL_ID,Available for Jul-Dec 2025
18,Introduction to Brain & Behaviour,Prof. Ark Verma,IITK,8,2,https://nptel.ac.in/courses/109/104/109104171/,-,No,No,109104171,No
19,Introduction to Psychology,Prof. Braj Bhushan,IITK,8,2,https://nptel.ac.in/courses/109104105/,-,Yes,No,109104105,No
20,Language and Mind,Prof. Rajesh Kumar,IITM,8,2,https://nptel.ac.in/courses/109/106/109106085/,-,Yes,No,109106085,No
21,Marketing Management-I,"Prof. Jayanta Chatterjee
Prof. Shashi Shekhar Mishra",IITK,8,2,https://nptel.ac.in/courses/110/104/110104068/,-,No,No,110104068,No
22,Principles of Human Resource Management,Prof. Aradhna Malik,IIT KGP,8,2,https://nptel.ac.in/courses/110/105/110105069/,-,No,No,110105069,No
23,Total Quality Management - I,Prof. Raghu Nandan Sengupta,IITK,8,2,https://nptel.ac.in/courses/110/104/110104080/,-,No,No,110104080,No
24,Entrepreneurship Essentials,Prof. Manoj Kumar Mondal,IITKGP,12,3,https://nptel.ac.in/courses/127/105/127105007/,-,Yes,No,127105007,No
25,An Introduction to Microeconomics,Prof. Vimal Kumar,IITK,12,3,https://nptel.ac.in/courses/109104125/,-,No,No,109104125,No
26,Applied Linguistics,Prof. Rajesh Kumar,IITM,12,3,https://nptel.ac.in/courses/109/106/109106114/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs118/preview,109106114,Yes
27,Feminism : Concepts and Theories,Prof. Mathangi Krishnamurthy,IITM,12,3,https://nptel.ac.in/courses/109/106/109106175/,-,Yes,No,109106175,No
28,Feminist Writings,Prof. Avishek Parui,IITM,12,3,https://nptel.ac.in/courses/109/106/109106146/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs127/preview,109106146,Yes
29,German - I,Prof. Milind Brahme,IITM,12,3,https://nptel.ac.in/courses/109/106/109106166/,-,Yes,https://onlinecourses.nptel.ac.in/noc25_hs121/preview,109106166,Yes
30,German - II,Prof. Milind Brahme,IITM,12,3,https://nptel.ac.in/courses/109/106/109106165/,-,Yes,https://onlinecourses.nptel.ac.in/noc25_hs122/preview,109106165,Yes
31,History of English Language and Literature,Prof. Merin Simi Raj,IITM,12,3,https://nptel.ac.in/courses/109/106/109106124/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs129/preview,109106124,Yes
32,Indian Fiction in English,Prof. Merin Simi Raj,IITM,12,3,https://nptel.ac.in/courses/109/106/109106135/,-,Yes,No,109106135,No
33,Infrastructure Planning and Managements,Prof. Ashwin Mahalingam,IITM,12,3,https://nptel.ac.in/courses/105/106/105106188/,-,No,No,105106188,No
34,Intellectual Property,Prof. Feroz Ali,IITM,12,3,https://nptel.ac.in/courses/109/106/109106137/,-,Yes,No,109106137,No
35,Introduction to Cultural Studies,Prof. Avishek Parui,IITM,12,3,https://nptel.ac.in/courses/109/106/109106136/,-,Yes,No,109106136,No
36,Introduction To Japanese Language And Culture,Prof. Vatsala Misra,IITK,12,3,https://nptel.ac.in/courses/121/104/121104005/,-,Yes,No,121104005,No
37,Introduction to World Literature,Prof. Merin Simi Raj,IITM,12,3,https://nptel.ac.in/courses/109/106/109106147/,-,Yes,No,109106147,No
38,Organizational Behaviour,Prof. M. P. Ganesh,IITH,12,3,https://nptel.ac.in/courses/110/106/110106145/,-,No,https://onlinecourses.nptel.ac.in/noc25_mg80/preview,110106145,Yes
39,Patent Law for Engineers and Scientists,Prof. Feroz Ali,IITM,12,3,https://nptel.ac.in/courses/110/106/110106081/,-,Yes,https://onlinecourses.nptel.ac.in/noc25_hs120/preview,110106081,Yes
40,Six Sigma,Prof. Jitesh J Thakkar,IIT KGP,12,3,https://nptel.ac.in/courses/110/105/110105123/,-,No,https://onlinecourses.nptel.ac.in/noc25_mg83/preview,110105123,Yes
41,The Nineteenth - Century English Novel,Prof. A. Divya,IITM,12,3,https://nptel.ac.in/courses/109/106/109106145/,-,Yes,No,109106145,No
42,Twentieth Century Fiction,Prof. Avishek Parui,IITM,12,3,https://nptel.ac.in/courses/109/106/109106172/,-,Yes,No,109106172,No
43,Soft Skill Development,"Prof. Priyadarshi Patnaik
Prof. V. N. Giri
Prof. D. Suar",IITKGP,8,2,https://nptel.ac.in/courses/109105110,Added in May 2024. Can only be credited starting May 2024,Yes,https://onlinecourses.nptel.ac.in/noc25_hs142/preview,109105110,Yes
44,Soft Skills,Prof. Binod Mishra,IITR,12,3,https://nptel.ac.in/courses/109107121,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs159/preview,109107121,Yes
45,Developing Soft Skills and Personality,Prof. T Ravichandran,IITK,8,2,https://nptel.ac.in/courses/109104107,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs174/preview,109104107,Yes
46,Entrepreneurship,Prof. C Bhaktavatsala Rao,IITM,12,3,https://nptel.ac.in/courses/110106141,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg81/preview,110106141,Yes
47,E-Business,Prof. Mamata Jenamani,IITKGP,12,3,https://nptel.ac.in/courses/110105083,Added in May 2024. Can only be credited starting May 2024,Yes,https://onlinecourses.nptel.ac.in/noc25_mg134/preview,110105083,Yes
48,Public Speaking,Prof. Binod Mishra,IITR,12,3,https://nptel.ac.in/courses/109107195,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs160/preview,109107195,Yes
49,Management Information System,"Prof. Kunal Kanti Ghosh
Prof. Saini Das
Prof. Surojit Mukherjee",IITKGP,12,3,https://nptel.ac.in/courses/110105148,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg133/preview,110105148,Yes
50,Environment and Development,Prof. Ngamjahao Kipgen,IITG,12,3,https://nptel.ac.in/courses/109103186,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs195/preview,109103186,Yes
51,Psychology of Learning,Prof. Atasi Mohanty,IITKGP,12,3,https://nptel.ac.in/courses/109105204,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs202/preview,109105204,Yes
52,Training of Trainers,Prof. Santosh Rangnekar,IITR,12,3,https://nptel.ac.in/courses/110107126,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg92/preview,110107126,Yes
53,Project Management for Managers,Prof. Mukesh Kumar Barua,IITR,12,3,https://nptel.ac.in/courses/110107081,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg90/preview,110107081,Yes
54,Business to Business Marketing (B2B),Prof. Jogendra Nayak,IITR,12,3,https://nptel.ac.in/courses/110107168,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg110/preview,110107168,Yes
55,Ethics in Engineering Practice,Prof. Susmita Mukhopadhyay,IITKGP,8,2,https://nptel.ac.in/courses/110105097,Added in May 2024. Can only be credited starting May 2024,Yes,https://onlinecourses.nptel.ac.in/noc25_mg141/preview,110105097,Yes
56,Strategic Management for Competitive Advantage,Prof. Sanjib Chowdhury,IITKGP,12,3,https://nptel.ac.in/courses/110105161,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg129/preview,110105161,Yes
57,Stress Management,Prof. Rajlakshmi Guha,IITKGP,4,1,https://nptel.ac.in/courses/121105009,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs140/preview,121105009,Yes
58,Intellectual Property Rights and Competition Law,"Prof. K. D. Raju
Prof. Niharika Sahoo Bhattacharya",IITKGP,8,2,https://nptel.ac.in/courses/110105139,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg132/preview,110105139,Yes
59,Customer Relationship Management,Prof. Swagato Chatterjee,IITKGP,8,2,https://nptel.ac.in/courses/110105145,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg137/preview,110105145,Yes
60,Body Language: Key to Professional Success,Prof. Rashmi Gaur,IITR,4,1,https://nptel.ac.in/courses/109107154,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs161/preview,109107154,Yes
61,Human Resource Development,Prof. Kbl Srivastava,IITKGP,12,3,https://nptel.ac.in/courses/109105121,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs210/preview,109105121,Yes
62,Product and Brand Management,Prof. Vinay Sharma,IITR,12,3,https://nptel.ac.in/courses/110107161,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg96/preview,110107161,Yes
63,Great Experiments in Psychology,Prof. Rajlakshmi Guha,IITKGP,4,1,https://nptel.ac.in/courses/109105118,Added in May 2024. Can only be credited starting May 2024,Yes,https://onlinecourses.nptel.ac.in/noc25_hs143/preview,109105118,Yes
64,Business Fundamentals for Entrepreneurs (Part 1: Internal Operation),Prof. Devdip Purkayastha,IITB,4,1,https://nptel.ac.in/courses/110101167,Added in May 2024. Can only be credited starting May 2024,No,No,110101167,No
65,Educational Leadership,Prof. Atasi Mohanty,IITKGP,12,3,https://nptel.ac.in/courses/109105122,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs212/preview,109105122,Yes
66,Business and Sustainable Development,Prof. Trupti Mishra,IITB,4,1,https://nptel.ac.in/courses/110101153,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg124/preview,110101153,Yes
67,Sports and Performance Nutrition,Prof. Geetha Ghaliyavar,IITM,8,2,https://nptel.ac.in/courses/109106402,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs154/preview,109106402,Yes
68,Business Analytics & Text Mining Modeling using Python,Prof. Gaurav Dixit,IITR,8,2,https://nptel.ac.in/courses/110107129,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg88/preview,110107129,Yes
69,Short Fiction in Indian Literature,Prof. A Divya,IIT M,12,3,https://nptel.ac.in/courses/109106138,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs126/preview,109106138,Yes
70,"Innovation, Business Models and Entrepreneurship","Prof. Rajat Agarwal
Prof. Vinay Sharma",IITR,8,2,https://nptel.ac.in/courses/110107094,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg95/preview,110107094,Yes
71,Introduction to Marketing Essentials,Prof. Zillur Rahman,IITR,12,3,https://nptel.ac.in/courses/110107147,Added in May 2024. Can only be credited starting May 2024,No,No,110107147,No
72,Sociology and Resource Management,"Prof. Archana Patnaik
 Prof. Amrita Sen",IITKGP,4,1,https://nptel.ac.in/courses/109105195,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs207/preview,109105195,Yes
73,Corporate Social Responsibility,Prof. Aradhna Malik,IITKGP,8,2,https://nptel.ac.in/courses/110105081,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg139/preview,110105081,Yes
74,Strategic Management – The Competitive Edge,Prof. R Srinivasan,IISc,8,2,https://nptel.ac.in/courses/110108161,Added in May 2024. Can only be credited starting May 2024,No,No,110108161,No
75,The Psychology of Language,Prof. Naveen Kashyap,IITG,8,2,https://nptel.ac.in/courses/109103152,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs193/preview,109103152,Yes
76,Strategy and Technology: A Practical Primer,Prof. C Bhaktavatsala Rao,IITM,12,3,https://nptel.ac.in/courses/110106157,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg82/preview,110106157,Yes
77,Entrepreneurship and IP Strategy,Prof. Gouri Gargate,IITKGP,8,2,https://nptel.ac.in/courses/109105176,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs213/preview,109105176,Yes
78,Managing Intellectual Property in Universities,Prof. Feroz Ali,IITM,4,1,https://nptel.ac.in/courses/109106148,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs131/preview,109106148,Yes
79,Patent Search for Engineers and Lawyers,"Prof. M Padmavati
Prof. Shreya Matilal",IITKGP,8,2,https://nptel.ac.in/courses/110105140,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg143/preview,110105140,Yes
80,Retail Marketing Strategy,Prof. Sourabh Arora,IITR,8,2,https://nptel.ac.in/courses/110107167,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg112/preview,110107167,Yes
81,Psychology of Everyday,"Prof. Braj Bhushan
Prof. Alok Bajpai",IITK,4,1,https://nptel.ac.in/courses/109104151,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs176/preview,109104151,Yes
82,Organizational Behaviour - II,"Prof. Susmita Mukhopadyay
Prof. Sangeeta Sahney
Prof. S. Srinivasan",IITKGP,12,3,https://nptel.ac.in/courses/110105154,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg136/preview,110105154,Yes
83,Data Analysis & Decision Making - III,Prof. Raghu Nandan Sengupta,IITK,12,3,https://nptel.ac.in/courses/110104125,Added in May 2024. Can only be credited starting May 2024,No,No,110104125,No
84,Strategic Communication for Sustainable Development,Prof. Aradhna Malik,IITKGP,4,1,https://nptel.ac.in/courses/110105073,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg140/preview,110105073,Yes
85,Perspectives on Neurolinguistic,Prof. Smita Jha,IITR,4,1,https://nptel.ac.in/courses/109107132,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs167/preview,109107132,Yes
86,Appreciating Carnatic Music,Prof. Lakshmi Sreeram,IITM,8,2,https://nptel.ac.in/courses/109106087,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs119/preview,109106087,Yes
87,Poetry,Prof. S P Dhanavel,IITM,12,3,https://nptel.ac.in/courses/109106176,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs125/preview,109106176,Yes
88,Literary and Cultural Disability Studies: An Exploration,Prof. Hemachandran Karah,IITM,12,3,https://nptel.ac.in/courses/109106185,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs133/preview,109106185,Yes
89,Introduction to Market Structures,Prof. Amarjyoti Mahanta,IITG,12,3,https://nptel.ac.in/courses/109103187,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs186/preview,109103187,Yes
90,Human Factors Engineering,"Prof. Pradip Kumar Ray
 Prof. Virendra Kumar Tewari",IITKGP,12,3,https://nptel.ac.in/courses/110105162,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg130/preview,110105162,Yes
91,Sports Psychology,"Prof. Chaitanya Sridhar
Prof. Nivedita Rajan
Prof. Priyanka Prabhakar",IITM,8,2,https://nptel.ac.in/courses/109106403,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs155/preview,109106403,Yes
92,Economics of Health and Health Care,Prof.Angan Sengupta,"Amrita Vishwa Vidyapeetham, Bangalore",8,2,https://nptel.ac.in/courses/110104095,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg114/preview,110104095,Yes
93,प्रमुख हिंदी कहानियां और भारतीय समाज,Prof. Shri Prakash Shukla,IIT (BHU) Varanasi,4,1,https://nptel.ac.in/courses/109104197,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs199/preview,109104197,Yes
94,International Trade - Theory and Empirics,Prof. Pratap C. Mohanty,IITR,12,3,https://nptel.ac.in/courses/109107173,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs164/preview,109107173,Yes
95,Urban Sociology,Prof. Amrita Sen Prof. Archana Patnaik,IITKGP,4,1,https://nptel.ac.in/courses/109105196,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs208/preview,109105196,Yes
96,Advance Course in Social Psychology,Prof. Pooja Garg,IITR,12,3,https://nptel.ac.in/courses/109107204,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs171/preview,109107204,Yes
97,Ecology and Society,Prof. Ngamjahao Kipgen,IITG,12,3,https://nptel.ac.in/courses/109103123,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs192/preview,109103123,Yes
98,"Text, Textuality and Digital Media",Prof. Arjun Gosh,IITD,12,3,https://nptel.ac.in/courses/109102156,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs146/preview,109102156,Yes
99,Industrial Safety Engineering,Prof. Jhareswar Maiti,IITKGP,12,3,https://nptel.ac.in/courses/110105094,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg142/preview,110105094,Yes
100,"Services Marketing : Integrating People, Technology, Strategy",Prof. Zillur Rahman,IITR,8 Weeks + 4 Weeks (New),#VALUE!,https://nptel.ac.in/courses/110107142,Added in May 2024. Can only be credited starting May 2024,No,No,110107142,No
101,Folk and Minor Art in India,Prof. Shatarupa Thakurta Roy,IITK,8,2,https://nptel.ac.in/courses/109104106,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs201/preview,109104106,Yes
102,German - III,Prof. Milind Brahme,IITM,12,3,https://nptel.ac.in/courses/109106190,Added in May 2024. Can only be credited starting May 2024,Yes,https://onlinecourses.nptel.ac.in/noc25_hs135/preview,109106190,Yes
103,Working In Contemporary Teams,"Prof.M. P Ganesh
Prof.Chitra Dey","IITH
VIT Chennai",4,1,https://nptel.ac.in/courses/110106167,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg107/preview,110106167,Yes
104,Strategic Sales Management,"Prof. Sourabh Arora
Prof. Kalpak Kulkarni",IITR,8,2,https://nptel.ac.in/courses/110107163,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg99/preview,110107163,Yes
105,Financial Accounting,Prof. Varadraj Bapat,IITB,8,2,https://nptel.ac.in/courses/110101131,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg121/preview,110101131,Yes
106,Management Accounting,Prof. Anil K. Sharma,IITR,12,3,https://nptel.ac.in/courses/110107127,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg85/preview,110107127,Yes
107,Handling Large-Scale Unit Level Data using STATA,Prof. Pratap C. Mohanty,IITR,8,2,https://nptel.ac.in/courses/109107182,Added in May 2024. Can only be credited starting May 2024,No,No,109107182,No
108,Fundamental Concepts in Sociolinguistics,"Prof. Om Prakash
Prof. Rajesh Kumar",Gautam Buddha University,12,3,https://nptel.ac.in/courses/109106188,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs134/preview,109106188,Yes
109,Managing Services,Prof. Jayanta Chatterjee,IITK,8,2,https://nptel.ac.in/courses/110104065,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg116/preview,110104065,Yes
110,Decision Making with Spreadsheet,Prof. A Ramesh,IITR,12,3,https://nptel.ac.in/courses/110107157,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg113/preview,110107157,Yes
111,Introduction to Basic Cognitive Processes,Prof. Ark Verma,IITK,8,2,https://nptel.ac.in/courses/109104123,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs178/preview,109104123,Yes
112,Toyota Production System,Prof. Rajat Agrawal,IITR,8,2,https://nptel.ac.in/courses/110107130,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg93/preview,110107130,Yes
113,Cost Accounting,Prof. Varadraj Bapat,IITB,4,1,https://nptel.ac.in/courses/110101132,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg122/preview,110101132,Yes
114,Introduction to Japanese Language and Culture - II,Prof. Vatsala Misra,IITK,12,3,https://nptel.ac.in/courses/109104195,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs179/preview,109104195,Yes
115,Development Research Methods,Prof. Rajshree Bedamatta,IITG,8,2,https://nptel.ac.in/courses/109103153,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs190/preview,109103153,Yes
116,Gender Justice and Workplace Security,Prof. Dipa Dube,IITKGP,4,1,https://nptel.ac.in/courses/110105080,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg131/preview,110105080,Yes
117,Introduction to Western Political Thought,Prof. Mithilesh Kumar Jha,IITG,12,3,https://nptel.ac.in/courses/109103176,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs188/preview,109103176,Yes
118,Decision-Making Under Uncertainty,Prof. N. Gautam,Syracuse University,4,1,https://nptel.ac.in/courses/110106134,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg79/preview,110106134,Yes
119,Sociology Of Science,Prof. Aninday Jayant Mishra,IITR,4,1,https://nptel.ac.in/courses/109107131,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs170/preview,109107131,Yes
120,Performative Gender and Religions in South Asia,Prof. Sarbani Banerjee,IITR,12,3,https://nptel.ac.in/courses/109107205,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs166/preview,109107205,Yes
121,Economics Of IPR,Prof. Nalin Bharti,IITP,4,1,https://nptel.ac.in/courses/109106100,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs151/preview,109106100,Yes
122,Working Capital Management,Prof. Anil K. Sharma,IITR,12,3,https://nptel.ac.in/courses/110107093,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_mg86/preview,110107093,Yes
123,Advanced Business Decision Support Systems,"Prof. Deepu Philip
Prof. Amandeep Singh Oberoi
Prof. Prabal Pratap Singh",IITK,12,3,https://nptel.ac.in/courses/110104168,Added in May 2024. Can only be credited starting May 2024,No,No,110104168,No
124,Introduction to Exercise Physiology & Sports Performance,"Col (Dr) Anup Krishnan (Retd)
Wg Cdr (Dr) CS Guru
Prof. Pralay Majumdar",IITM,8,2,https://nptel.ac.in/courses/109106406,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs156/preview,109106406,Yes
125,The Popular Gothic Novel,Prof. Divya A,IITM,12,3,https://nptel.ac.in/courses/109106177,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs123/preview,109106177,Yes
126,Mathematics For Economics - I,Prof. Debarshi Das,IITG,12,3,https://nptel.ac.in/courses/109103188,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs187/preview,109103188,Yes
127,"Science, Technology and Society",Prof. Sambit Mallick,IITG,12,3,https://nptel.ac.in/courses/109103121,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs189/preview,109103121,Yes
128,Globalization and Culture,Prof. Anjali Gera Roy,IITKGP,8,2,https://nptel.ac.in/courses/109105113,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs211/preview,109105113,Yes
129,Introduction to Advanced Cognitive Processes,Prof. Ark Verma,IITK,8,2,https://nptel.ac.in/courses/109104126,Added in May 2024. Can only be credited starting May 2024,No,https://onlinecourses.nptel.ac.in/noc25_hs177/preview,109104126,Yes
