skillUri,sector,tier,relationType,matchedOn,priority,match_count,reason
http://data.europa.eu/esco/skill/9707091a-323b-4240-877a-5999a19286f0,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ab20726a-14dd-4536-9aa1-6166bc1a5832,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/b8271c8a-cba6-4baa-80f5-6361af3f07e3,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/52cf3037-ab53-4806-85ed-7fd21ea7f6a1,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ffddfc7c-a9dd-449f-9e96-882dc447c8b6,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/300d432b-f457-4cd3-9cb1-1858c7d14954,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/58d7a289-dafd-4363-833f-d1dc4140885e,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/9973a5a2-7822-4161-99e9-95c781eb63f8,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/b4dc6e4f-dc7d-445f-8ce2-d7b9d225e282,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/bb99af26-71ff-4dca-bde7-1eb1f6194426,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/dcdd5ddf-82a6-4ac3-8edc-d4b23cae9a88,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/def007fa-5fed-4a5f-91a2-b0d7e3db1be1,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,11.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/8369ede5-4200-4a44-be2e-bc60ef959259,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,10.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/993b1e23-f2de-4bd8-b33f-f86dde1c8e9d,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6417a4cc-6f61-4459-a114-761a7fa0279d,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/69f0167e-75d9-46cf-847f-72a592880ebb,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6b6a9252-2ed7-4862-a02f-1578f4a532ea,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6f8a40d6-f9ce-43ec-a72f-d4213a53f3ed,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/c7451027-8249-405a-bb1b-342ff0f3fb3b,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/f47a1998-0beb-43be-9f46-380aa4d183da,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,9.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/f5308e60-d763-4ead-be95-88c96fb3e02b,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/449d119b-2d66-43a9-9230-7d27f16afbb6,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/75f839c2-fd9a-4ad3-8921-6e734608568d,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/7d10fcb2-b368-48ab-996b-7c9fafcf68ed,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/d31fab87-2a7d-485c-b699-2901ca294b15,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,8.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,7.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/438ff259-d086-4004-acda-1ec3e1631bc6,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,7.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/8c4c49d4-9708-433f-8ca7-bf2c5211ee49,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,7.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,7.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ba1b0441-a6b8-4e57-8ccc-871012f63e42,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,5.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/a4e31589-3632-4926-91d0-15b889c90b9b,IT/Software - Software Development,A-occupation,optional,web designer,1.0,5.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6d289e8b-2cc1-4eda-ab1f-ad1090ef98f0,IT/Software - Software Development,A-occupation,optional,user interface developer,1.0,5.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/8c88d336-c249-4537-b26e-d679a85c4b9b,IT/Software - Software Development,A-occupation,optional,user interface developer,1.0,5.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/1774bd31-8893-44cf-9498-7e3d95508419,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,4.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/8785ccda-6f9f-4cf3-9033-fda10653d0be,IT/Software - Software Development,A-occupation,optional,web designer,1.0,4.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/83218cac-3599-417e-93d2-26013cdccd98,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/d5a59ca8-2e91-472e-8571-d12ce4478679,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/da6393d5-a53c-4863-abc7-51f36281d74e,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/9190d87f-9792-42e0-bb7f-64294a656bcd,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/abdc7ac8-151f-40c6-bc1a-1e9b4b073290,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ba04b19b-0b18-4d5c-b799-4db31a98e58d,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ce26e71f-2d47-474e-89b6-7920931ac4fc,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/d8829a1d-dbde-435b-b921-29d6462f35c9,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777,IT/Software - Software Development,A-occupation,optional,web designer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/1de3942b-99d8-41e8-9ef0-fbc9e9f6307b,IT/Software - Software Development,A-occupation,optional,user interface developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,IT/Software - Software Development,A-occupation,optional,user interface developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,IT/Software - Software Development,A-occupation,optional,database developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/38716afc-a93b-44ab-96cc-2ecf67edcf32,IT/Software - Software Development,A-occupation,optional,ICT application developer,1.0,3.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/3f4dab51-572b-4e2c-85ef-3b4c3f7094e1,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/5da8018b-ae85-4cde-ad93-0394369018f3,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/63f0aa84-5e4c-4eb6-8e8c-876d9feedf1f,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6a876489-7ad8-4a13-b09c-c9b8e97a302e,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/84f583f4-f32a-4202-9b92-e25f0c978410,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/a57a54b6-2f2e-43e4-9621-b52f4a63cb08,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/b16200f4-4f39-4b8b-aa9d-3568054d6bdb,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/c7d24594-0c11-4b27-9039-fe0bb903da8e,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/f597f772-24d3-4cec-813c-cf5a7027c794,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/283cbcd3-7101-4dbb-be37-56f3625515b1,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/dad7e408-162f-46a4-8567-db560e19e2fc,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/b8c01891-e3df-4a4b-948d-95b45e1788f5,IT/Software - Software Development,A-occupation,optional,mobile application developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,IT/Software - Software Development,A-occupation,optional,web designer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/4a466c62-db7d-4905-9a41-f23214810acb,IT/Software - Software Development,A-occupation,optional,web designer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/1110c92f-3059-445a-9436-0f4200d365f5,IT/Software - Software Development,A-occupation,optional,user interface developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1,IT/Software - Software Development,A-occupation,optional,user interface developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/17924c75-45f4-4593-afac-eea0d51f04b5,IT/Software - Software Development,A-occupation,optional,ICT system developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab,IT/Software - Software Development,A-occupation,optional,ICT system developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/cdd8b6b2-2fd9-453c-8d62-8a1dc6efcd49,IT/Software - Software Development,A-occupation,optional,ICT system developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6c08403c-a5bb-4868-b8c2-b7d039c0e511,IT/Software - Software Development,A-occupation,optional,ICT system developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/bb2b4485-2bad-402f-8517-44bf7d9afff4,IT/Software - Software Development,A-occupation,optional,ICT system developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/cbe2c304-1e7d-489a-97d9-a7d3e37a9db6,IT/Software - Software Development,A-occupation,optional,ICT system developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec,IT/Software - Software Development,A-occupation,optional,database developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/81633a44-f1db-4a01-a940-804c6905e330,IT/Software - Software Development,A-occupation,optional,industrial mobile devices software developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/b16bcbcb-1d3f-42b3-a6a5-b91348a72b70,IT/Software - Software Development,A-occupation,optional,web developer,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,IT/Software - Software Development,A-occupation,optional,software architect,1.0,2.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/46e93774-7c6a-4dc5-bae9-be97cc461093,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/4840338b-ac6c-486a-be1d-9ddfe00b8bdf,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/85f46538-ae70-498a-bfbc-b8ddafe96c7d,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/96eb286a-58b7-45ff-a916-5578d0b79b8c,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/a3ce2bf7-5562-4639-9b52-fdb4850a3904,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ed1d8bd4-cd2a-4c64-b665-56d70651026c,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/ce354460-500e-4eaa-8e95-8f243fcea3db,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/2174c1b0-e13c-4850-8e4d-2bc6183018bf,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/53780150-1581-4ae6-b435-34068c172caf,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/605399ce-4736-4b41-b41e-92ecf2139454,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/d32db06e-bd06-4415-a7ab-1b0ee68caa9a,IT/Software - Software Development,A-occupation,optional,blockchain developer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/3d957fb2-b8f4-4b4c-b955-23299c761ad5,IT/Software - Software Development,A-occupation,optional,web designer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/c1f29568-f2bb-49d2-b6c2-28748bd1629b,IT/Software - Software Development,A-occupation,optional,web designer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/d04ee340-5378-4601-8181-19da6d5cbfe0,IT/Software - Software Development,A-occupation,optional,web designer,1.0,1.0,cut by per-sector cap - candidate for manual promotion
