conceptUri,preferredLabel
http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,demonstrate curiosity
http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,manage personal progression
http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,approach challenges positively
http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically
http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change
http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,adopt ways to reduce negative impact of consumption
http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,maintain psychological well-being
http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,protect the health of others
http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,moderate a discussion
http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,"apply knowledge of science, technology and engineering"
http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,process spatial information
http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,respect the diversity of cultural values and norms
http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,cope with uncertainty
http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,address an audience
http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,work in teams
http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,show confidence
http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,instruct others
http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,operate digital hardware
http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,"organise information, objects and resources"
http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,interpret mathematical information
http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,demonstrate loyalty
http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,lead others
http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,show empathy
http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,negotiate compromises
http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,cope with stress
http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,work efficiently
http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,participate actively in civic life
http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,think critically
http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,engage others in environment friendly behaviours
http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,attend to detail
http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,make an informed use of the health-care system
http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,promote the principles of democracy and rule of law
http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,express yourself creatively
http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,resolve conflicts
http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,appreciate diverse cultural and artistic expression
http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,demonstrate willingness to learn
http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,"use equipment, tools or technology with precision"
http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,maintain concentration for long periods
http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,identify problems
http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,maintain physical fitness
http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,solve problems
http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,delegate responsibilities
http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,use communication and collaboration software
http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit
http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,improvise
http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,comply with regulations
http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,move objects
http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,conduct web searches
http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,manage digital identity
http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,demonstrate trustworthiness
http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,show entrepreneurial spirit
http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,report facts
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,apply basic programming skills
http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,build networks
http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,demonstrate intercultural competence
http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,work independently
http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,think innovatively
http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,demonstrate awareness of health risks
http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,think creatively
http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,think holistically
http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,make decisions
http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,create digital content
http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,manage time
http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,apply hygiene standards
http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,critically evaluate information and its sources
http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,manage chronic health conditions
http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,apply knowledge of social sciences and humanities
http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,"promote ideas, products, services"
http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,motivate others
http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,respect confidentiality obligations
http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,plan
http://data.europa.eu/esco/skill/ef7562b2-f176-4d7c-a0b2-27ae8cce0b7d,react to physical changes or hazards
http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d,apply digital security measures
http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,exercise rights and responsibilities
http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,memorise information
http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,keep an open mind
